road;km;type;LRPName;name;length;condition;structureNr;roadName;chainage;width;constructionYear;spans;zone;circle;division;sub-division;lat;lon;EstimatedLoc
N1;1.8;Box Culvert;LRP001a;.;11.3;A;117861;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;1.8;19.5;2005;2;Dhaka;Dhaka;Narayanganj;Narayanganj-1;237.028.888.888.888;904.503.888.888.889;bcs1
N1;4.925;Box Culvert;LRP004b;.;6.6;A;117862;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;4.925;35.4;2006;1;Dhaka;Dhaka;Narayanganj;Narayanganj-1;236.936.111.111.111;904.788.333.333.333;bcs1
N1;8.976;PC Girder Bridge;LRP008b;Kanch pur Bridge.;394.23;A;119889;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;8.976;;;;Dhaka;Dhaka;Narayanganj;Narayanganj-1;237.045.833;905.188.327;road_precise
N1;10.88;Box Culvert;LRP010b;NOYAPARA CULVERT;6.3;A;112531;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;10.88;12.2;1992;2;Dhaka;Dhaka;Narayanganj;Vitikandi;236.998.333.333.333;905.307.222.222.222;bcs1
N1;10.897;Box Culvert;LRP010c;ADUPUR CULVERT;6.3;A;112532;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;10.897;12.2;1984;2;Dhaka;Dhaka;Narayanganj;Vitikandi;236.996.666.666.666;905.307.222.222.222;bcs1
N1;11.296;Box Culvert;LRP011a;NAYABARI KASPUR BOX CULVERT;8.3;A;101110;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;11.296;21.45;1986;2;Dhaka;Dhaka;Narayanganj;Vitikandi;236.973.611.111.111;905.338.333.333.333;bcs1
N1;12.239;Box Culvert;LRP012a;KHAS PARA BOX CULVERT;9.3;A;101117;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;12.239;21;1986;2;Dhaka;Dhaka;Narayanganj;Vitikandi;236.923.333.333.333;90.541;bcs1
N1;12.253;Box Culvert;LRP012b;DAWAN BAG BOX CULVERT;6.1;A;101119;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;12.253;20.6;1987;2;Dhaka;Dhaka;Narayanganj;Vitikandi;236.925.555.555.555;905.411.388.888.888;bcs1
N1;12.66;PC Girder Bridge;LRP013a;Madanpur Bridge.(L);27.5;A;119897;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;12.66;;;;Dhaka;Dhaka;Narayanganj;Vitikandi;236.854.997;905.512.778;road_precise
N1;12.66;PC Girder Bridge;LRP013a;MADAN PUR (R);26.3;A;109841;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;12.66;9.2;2003;1;Dhaka;Dhaka;Narayanganj;Vitikandi;236.911.111.111.111;905.448.888.888.888;bcs1
N1;12.66;PC Girder Bridge;LRP013a;MADANPUR BRIDGE(L);26.3;A;109838;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;12.66;9.2;2003;1;Dhaka;Dhaka;Narayanganj;Vitikandi;236.911.111.111.111;905.448.888.888.888;bcs1
N1;12.688;PC Girder Bridge;LRP013b;Madanpur Bridge(R);27.5;A;119900;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;12.688;;;;Dhaka;Dhaka;Narayanganj;Vitikandi;236.853.619.779.342;905.513.591.765.258;road_interpolate
N1;13.574;Box Culvert;LRP014a;KAWTALA BOX CULVERT;11.9;A;109794;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;13.574;22.4;2003;2;Dhaka;Dhaka;Narayanganj;Vitikandi;236.856.111.111.111;905.511.944.444.444;bcs1
N1;17.222;PC Girder Bridge;LRP018b;Darikandi Bridge (R);20.45;A;119926;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;17.222;;;;Dhaka;Dhaka;Narayanganj;Vitikandi;236.506.944;905.829.993;road_precise
N1;17.222;PC Girder Bridge;LRP018a;Darikandi Bridge (L);20.5;A;119921;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;17.222;;;;Dhaka;Dhaka;Narayanganj;Vitikandi;236.508.889;905.826.382;road_precise
N1;18.093;PC Girder Bridge;LRP018c;Sonakhal Bridge(L);25.5;A;119933;Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road;18.093;;;;Dhaka;Dhaka;Narayanganj;Vitikandi;236.497.543.993.548;905.845.490.085.483;road_interpolate
